Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Industry,Business Description,Company Website,Started in,Male Presenters,Female Presenters,Pitchers Average Age,Pitchers City,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Part of Match off,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Royalty Percentage,Royalty Recouped Amount,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present
4,CurveElectric,3,487,06-Jan-25,18-Mar-25,08-Jan-25,From Style To Sustainability,Technology/Software,e-bike sharing system,https://www.curveelectric.com/,2023,2,0,Middle,Srinagar,,,,,4.5,,150,,funded,,500,5,10000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kunal Bahl,,1,1,1,1,,,1
4,Gudworld,4,488,06-Jan-25,18-Mar-25,09-Jan-25,Sweet Innovations And Smart Solutions,Food and Beverage,Organic jaggery delights,https://gudworld.in/,2021,0,2,Young,Aurangabad,600,69,,,14.2,,,,,,50,2,2500,1,1,50,5,,,1000,1,,,,,,,,,,,,,50,5,,,,,,,,,,,,,,,Varun Dua,,1,1,1,1,,,1
4,airth,4,489,06-Jan-25,18-Mar-25,09-Jan-25,Sweet Innovations And Smart Solutions,Lifestyle/Home,Innovative air purifiers for ACs,https://airth.in/,2023,2,0,Middle,Delhi,600,40,,,,yes,,yes,funded,,60,1,6000,1,1,100,3.7,,,2702.702703,2,,,,,,,50,1.85,,,,,50,1.85,,,,,,,,,,,,,,,Varun Dua,,1,1,1,1,,,1
4,OneDios,4,490,06-Jan-25,18-Mar-25,09-Jan-25,Sweet Innovations And Smart Solutions,Lifestyle/Home,Convenient service request platform,https://www.onedios.com/,2019,1,0,Middle,Noida,357,,,,,yes,,,funded,,75,1.5,5000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Varun Dua,,1,1,1,1,,,1
4,InnerGize,5,491,06-Jan-25,18-Mar-25,10-Jan-25,Pitching Wellness And Luxury,Medical/Health,Mental wellness wearables,https://getinnergize.com/,2023,2,1,Middle,Delhi,,,,,,,,yes,,,54,1.5,3600,1,1,100,4.2,,,2380.952381,3,,,,,,,,,,,,,33.333,1.4,,,,,33.333,1.4,,,,,33.333,1.4,,Azhar Iqubal,"Kunal Bahl,Azhar Iqubal",,1,,1,,1,,2
4,PersonalTouchSkincare,5,492,06-Jan-25,18-Mar-25,10-Jan-25,Pitching Wellness And Luxury,Beauty/Fashion,Premium skin body home care,https://www.skincarepersonaltouch.com/,2022,1,1,Middle,Panipat,1200,,,,14,,38,,,,120,1,12000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kunal Bahl,Azhar Iqubal",,1,,1,,1,,2
4,KIWIKisanWindow,5,493,06-Jan-25,18-Mar-25,10-Jan-25,Pitching Wellness And Luxury,Lifestyle/Home,Organic grocery solutions,https://kiwikisanwindow.com/,2017,1,1,Middle,Dehradun,506,,,,5.3,,250,,funded,,50,1,5000,1,1,250,10,,,2500,1,,,,,,,,,,,,,,,,,,,,,,,,,250,10,,Kunal Bahl,"Kunal Bahl,Azhar Iqubal",,1,,1,,1,,2
4,TripoleGear,6,494,06-Jan-25,18-Mar-25,13-Jan-25,"Tech, Travel And Cheesecake",Fitness/Sports/Outdoors,Trekking gear essentials backpacks,https://tripole.in/,2017,1,0,Middle,Delhi,1420,160,47,,6,,250,,yes,,100,1,10000,1,1,75,1.15,25,9,6521.73913,1,,,,,,,,,,,,,,,,,,,75,1.15,25,,,,,,,,Kunal Bahl,1,,1,1,,1,,1
4,Neosapien,6,495,06-Jan-25,18-Mar-25,13-Jan-25,"Tech, Travel And Cheesecake",Technology/Software,AI-powered superhuman personal assistant,https://neosapien.xyz/,2024,2,0,Young,"Gwalior,Indore",,,,,,,,,,,80,2.5,3200,1,1,80,4,,,2000,1,,,,80,4,,,,,,,,,,,,,,,,,,,,,,,,Kunal Bahl,1,,1,1,,1,,1
4,MissCheesecake,6,496,06-Jan-25,18-Mar-25,13-Jan-25,"Tech, Travel And Cheesecake",Food and Beverage,Delightful affordable cheesecakes,https://www.misscheesecake.store/,2024,1,1,Young,Jodhpur,,850,50,35,,,6,,,,30,5,600,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kunal Bahl,1,,1,1,,1,,1
